gene_id	direction
At3g22830	up
At2g28400	up
At5g54230	up
At1g60190	up
At2g33380	up
At1g49450	up
At1g77450	up
At4g05100	up
At1g01720	up
At1g69490	up
At5g05410	up
At1g52890	up
At5g07680	up
At5g47640	up
At4g27410	up
At3g11410	up
At1g01520	up
At2g46680	up
At4g26080	up
At2g22200	up
At3g19580	up
At5g37540	up
At2g46270	up
At5g59220	up
At1g11210	up
At3g57540	up
At1g78070	up
At1g53170	up
At3g61890	up
At1g69260	up
At5g57050	up
At3g21890	up
At4g34000	up
At1g73480	up
At2g47270	up
At5g63790	up
At3g02140	up
At4g35720	up
At3g29575	up
At1g56600	up
At2g47770	up
At5g06760	up
At1g52690	up
At1g07430	up
At1g48100	up
At5g47530	up
At2g13160	up
At4g28110	up
At1g05100	up
At1g64380	up
At4g33550	up
At1g79520	up
At1g60590	up
At5g62470	up
At1g14730	up
At1g02660	up
At1g70420	up
At5g13200	up
At2g47780	up
At4g15120	up
At3g55090	up
At5g24080	up
At2g18550	up
At4g23450	up
At2g41870	up
At1g54540	up
At2g39350	up
At4g12000	up
At3g24520	up
At1g76590	up
At4g10960	up
At3g28530	up
At2g29090	up
At5g62430	up
At3g03170	up
At5g52310	up
At1g62570	up
At4g33905	up
At3g17520	up
At5g13170	up
At2g42540	up
At3g15670	up
At5g62490	up
At5g39520	up
At2g29380	up
At1g80160	up
At3g13672	up
At5g28520	up
At2g37870	up
At4g37220	up
At3g48510	up
At5g59310	up
At3g51750	up
At5g45690	up
At3g20300	up
At3g05640	up
At2g37770	up
At5g66780	up
At3g52820	up
At4g12430	up
At1g73220	up
At4g35190	up
At5g66400	up
At1g69480	up
At5g15190	up
At5g07330	up
At1g02200	up
At1g64110	up
At1g03700	up
At3g02480	up
At3g28007	up
At1g04560	up
At5g22460	up
At4g39670	up
At5g45630	up
At5g01300	up
At5g59320	up
At1g18870	up
At2g17680	up
At2g35300	up
At1g68620	up
At3g48520	up
At3g14440	up
At5g11110	up
At2g31980	up
At2g25625	up
At1g80110	up
At5g53990	up
At1g20070	up
At1g43160	up
At1g63720	up
At1g07870	up
At1g22640	up
At1g72770	up
At4g26090	up
At5g01520	up
At3g50970	up
At4g28040	up
At4g29190	up
At5g19875	up
At1g21400	up
At1g73390	up
At1g65690	up
At5g10930	up
At1g13740	up
At4g09500	up
At1g52880	up
At2g19810	up
At3g46450	up
At2g32510	up
At5g01820	up
At5g60630	up
At1g02400	up
At4g21940	up
At1g61890	up
At3g04070	up
At4g27840	up
At1g69270	up
At4g19230	up
At5g26340	up
At4g01120	up
At4g23920	up
At1g68500	up
At5g46410	up
At4g23050	up
At1g56170	up
At1g64470	up
At3g29630	up
At5g60680	up
At3g17130	up
At5g04340	up
At1g51140	up
At1g21790	up
At2g30360	up
At4g24960	up
At5g12840	up
At1g77000	up
At3g06500	up
At1g21410	up
At5g16200	up
At4g17550	up
At1g32640	up
At5g61820	up
At5g57340	up
At1g20450	up
At1g04220	up
At4g18140	up
At3g15210	up
At3g56080	up
At4g23870	up
At5g15950	up
At5g62480	up
At1g67920	up
At5g03230	up
At2g32150	up
At2g43290	up
At2g22430	up
At1g27200	up
At5g52660	up
At2g41190	up
At4g30470	up
At2g22190	up
At5g66460	up
At4g30960	up
At5g04250	up
At5g52550	up
At3g22370	up
At5g67300	up
At1g72240	up
At5g59820	up
At5g11650	up
At5g13900	up
At3g45970	up
At5g64260	up
At5g52300	up
At3g48920	up
At5g57240	up
At5g62130	up
At1g19180	up
At5g63130	up
At1g67360	up
At4g11330	up
At2g23030	up
At3g56880	up
At5g23190	up
At1g30620	up
At3g62260	up
At1g02816	up
At4g25670	up
At3g14060	up
At5g37260	up
At4g24480	up
At2g43570	up
At5g43150	up
At5g05870	up
At5g22290	up
At5g15960	up
At1g71960	up
At4g22920	up
At5g54840	up
At2g16720	up
At5g10100	up
At5g25220	up
At5g59550	up
At3g11420	up
At5g66650	up
At5g62090	up
At1g66760	up
At5g24120	up
At4g37260	up
At3g15500	up
At1g62300	up
At1g19970	up
At2g38820	up
At4g27260	up
At2g42530	up
At3g50400	up
At3g07360	up
At5g58650	up
At4g38060	up
At1g09520	up
At2g32800	up
At5g15180	up
At3g50060	up
At5g25240	up
At1g79270	up
At5g17760	up
At3g25870	up
At5g59480	up
At3g23920	up
At3g57010	up
At3g02150	up
At1g77120	up
At1g01240	up
At3g07350	up
At4g14270	up
At1g54740	up
At4g40010	up
At2g24540	up
At2g39050	up
At4g17280	up
At1g27730	up
At3g47500	up
At2g37750	up
At5g64170	up
At1g24600	up
At1g12990	up
At1g78680	up
At2g21180	up
At5g20270	up
At2g22500	up
At5g57610	up
At4g37150	up
At1g03520	up
At3g24500	up
At5g19410	up
At3g62590	up
At1g55760	up
At1g18810	up
At2g22240	up
At3g10980	up
At2g47180	up
At4g36010	up
At5g13580	up
At5g23850	up
At1g01470	up
At1g14530	up
At5g11060	up
At3g47295	up
At5g09520	up
At3g14560	up
At4g24380	up
At1g08570	up
At5g57910	up
At1g75170	up
At5g01740	up
At1g68020	up
At2g17840	up
At3g51895	up
At2g30550	up
At1g17550	up
At4g33666	up
At1g16850	up
At5g41080	up
At2g21560	up
At1g30500	up
At1g06570	up
At2g18050	up
At1g55265	up
At3g15990	up
At3g63210	up
At1g58270	up
At2g25530	up
At4g37790	up
At3g54680	up
At3g05340	up
At1g22160	up
At5g24530	up
At1g70170	up
At3g06780	up
At1g76180	up
At3g13620	up
At3g15790	up
At2g15960	up
At1g09350	up
At1g77680	up
At4g22820	up
At5g43850	up
At4g28085	up
At5g17860	up
At5g16600	up
At4g01550	up
At2g18170	up
At3g17000	up
At5g58160	up
At1g10740	up
At5g14940	up
At2g02710	up
At3g44735	up
At5g04760	up
At4g09030	up
At5g65630	up
At1g18460	up
At4g11280	up
At1g07720	up
At1g23710	up
At4g28240	up
At4g20880	up
At2g39110	up
At1g20440	up
At5g57900	up
At5g37550	up
At2g03760	up
At5g58620	up
At5g23220	up
At5g18270	up
At5g61810	up
At1g75030	up
At5g18670	up
At1g21000	up
At1g47610	up
At5g10550	up
At2g21820	up
At4g35560	up
At5g54300	up
At5g44670	up
At1g42990	up
At2g34610	up
At2g36080	up
At4g12580	up
At1g08500	up
At1g62710	up
At1g78080	up
At4g15140	up
At4g29950	up
At5g41460	up
At1g22190	up
At2g23120	up
At5g57100	up
At3g55610	up
At3g48460	up
At2g43330	up
At1g02310	up
At5g13330	up
At5g49280	up
At1g19230	up
At2g15970	up
At5g64900	up
At1g10090	up
At1g73920	up
At1g01360	up
At5g10230	up
At5g09980	up
At1g08920	up
At5g60850	up
