gene_id	cluster	relevance
AT1G75490	UP_C1	core
AT5G57660	UP_C1	core
AT5G44260	UP_C1	core
AT5G49700	UP_C1	core
AT1G69490	UP_C1	core
AT5G39610	UP_C1	core
AT5G19120	UP_C1	core
AT1G28330	UP_C1	core
AT2G33830	UP_C1	core
AT2G18050	UP_C1	core
AT1G04310	UP_C1	core
AT3G23150	UP_C1	core
AT5G25350	UP_C1	core
AT1G26800	UP_C1	core
AT4G11360	UP_C1	core
AT5G27320	UP_C1	core
AT1G21680	UP_C1	core
AT1G73480	UP_C1	core
AT3G26510	UP_C1	core
AT1G23050	UP_C1	core
AT2G41230	UP_C1	core
AT2G44080	UP_C1	core
AT3G59900	UP_C1	core
AT3G03870	UP_C1	core
AT3G15770	UP_C1	core
AT4G05070	UP_C1	core
AT4G14270	UP_C1	core
AT5G07000	UP_C1	core
AT5G07010	UP_C1	core
AT5G02020	UP_C1	core
AT2G39980	UP_C1	core
AT1G03610	UP_C1	coregulated
AT1G06570	UP_C1	coregulated
AT1G08630	UP_C1	coregulated
AT1G09530	UP_C1	coregulated
AT1G14890	UP_C1	coregulated
AT1G15670	UP_C1	coregulated
AT1G21780	UP_C1	coregulated
AT1G22985	UP_C1	coregulated
AT1G23870	UP_C1	coregulated
AT1G25560	UP_C1	coregulated
AT1G27290	UP_C1	coregulated
AT1G28960	UP_C1	coregulated
AT1G33055	UP_C1	coregulated
AT1G43700	UP_C1	coregulated
AT1G49210	UP_C1	coregulated
AT1G56220	UP_C1	coregulated
AT1G68840	UP_C1	coregulated
AT1G71030	UP_C1	coregulated
AT1G72060	UP_C1	coregulated
AT1G73500	UP_C1	coregulated
AT1G76410	UP_C1	coregulated
AT1G79700	UP_C1	coregulated
AT2G02710	UP_C1	coregulated
AT2G04550	UP_C1	coregulated
AT2G17880	UP_C1	coregulated
AT2G18700	UP_C1	coregulated
AT2G19810	UP_C1	coregulated
AT2G22680	UP_C1	coregulated
AT2G25900	UP_C1	coregulated
AT2G27830	UP_C1	coregulated
AT2G36080	UP_C1	coregulated
AT2G36220	UP_C1	coregulated
AT2G36900	UP_C1	coregulated
AT2G38400	UP_C1	coregulated
AT2G38820	UP_C1	coregulated
AT2G40970	UP_C1	coregulated
AT2G44130	UP_C1	coregulated
AT2G45210	UP_C1	coregulated
AT3G01170	UP_C1	coregulated
AT3G01400	UP_C1	coregulated
AT3G04350	UP_C1	coregulated
AT3G07560	UP_C1	coregulated
AT3G14595	UP_C1	coregulated
AT3G15450	UP_C1	coregulated
AT3G16770	UP_C1	coregulated
AT3G47340	UP_C1	coregulated
AT3G49790	UP_C1	coregulated
AT3G59940	UP_C1	coregulated
AT3G62650	UP_C1	coregulated
AT3G62770	UP_C1	coregulated
AT4G00335	UP_C1	coregulated
AT4G01120	UP_C1	coregulated
