	RGA1	AT2G04100	AT2G10940	AGP9	MYB7	HIS1.3	AT2G19310	TET2	HB6	SVP	AT2G28400	CYP707A2	AT2G31110	AT2G33830	EXL7	AT2G36220	ABI5	AT2G36630	PIP2B	EXP3	AT2G37750	LTP2	PIP2E	AT2G39980	HSPRO2	EXPA8	CAMBP25	ORS1	AT2G41760	MAX2	AT2G42900	IBH1	SSI2	ARL	PIP1B	GBF3	RS31a	TSPO	AGP26	AT3G04010	AT3G08030	ATERDJ3A	AT3G11690	AT3G11930	AT3G12050	AT3G14200	AT3G15770	AT3G17100	AT3G17520	AT3G03870	HB.1	AT3G03270	ETR2	AT3G23170	AT3G26510	AFP3	AT3G43430	CYP71A25	AT3G50560	PIP2A	EP3	AT3G54510	AT3G57010	AT3G57400	ARGOS	AT3G62650	ATG8B	AT4G05070	CYTC.2	HKT1	RHA1B	AT4G12510	AT4G12520	FLA2	XTH15	AT4G14270	AT4G14930	IAGLU	RALFL33	EXLB1	TIP2;2	G3Pp4	HSA32	AT4G25260	WES1	AT4G27280	YUC8	XTH24	XTH19	AT4G32480	ABF3	AT4G34770	AT4G35720	AT4G38860	ST2B	ST2A	AT5G10770	AT5G12940	AT5G13500	AT5G02760	AT5G14690	FDH	AT5G17780	AT5G18030	AT5G01740	SIS	AT5G02230	DIP2	AT5G19120	AT5G23870	ESE3	EBF2	GID1C	NAC6	AT5G43450	AT5G44260	HAT2	AT5G47420	TDT	PAT1	AT5G49170	AT5G49700	AT5G50335	AT5G50360	OLEO3	AT5G51440	HB52	PBP1	COL5	AT5G57760	AT5G59845	AT5G60840	OBP4	AT5G66590	UGT72E2	AT1G06980	SR30	AT1G09250	AT1G10140	AT1G11210	ATBETAFRUCT4	AT1G02470	RTFL17	AT1G13990	AT1G14890	AT1G16850	AT1G21680	AT1G22190	AT1G22910	AT1G26800	ASG4	YUC3	ERS2	DYL1	GA2OX2	AT1G32520	AT1G36060	AT1G36940	AT1G44830	CXE5	AT1G53180	ZF14	AT1G61667	AT1G62770	ENODL8	MGL	AT1G65490	AT1G66080	AT1G66540	AT1G68620	NAP	NRT1.2	AT1G70000	AT1G70985	AT1G71110	AT1G73480	BEE3	UBC16	AT1G75490	NAC032	ECT8	AT1G79520	SAG20	RTFL12	AT4G36648	AT1G29465	SAUR29
RGA1	0	-0.171	0.2437	-0.0722	0.2634	0.1647	-0.5461	1.2308	2.1982	1.8428	0.4411	0.1647	1.3098	0.7372	-0.625	0.599	-0.8225	0.8952	0.4213	2.6128	0.8557	-0.1315	1.9021	0.8952	-0.013	1.6257	0.4806	-0.5856	0.6188	1.9021	1.7836	1.6257	1.527	0.2437	2.1192	0.6188	-0.3486	-0.5856	0.5003	-0.8422	2.4549	-1.7109	1.7639	-0.704	0.2239	0.3226	1.3493	2.4154	-0.862	2.2377	0.6583	0.3819	0.599	-0.4079	0.9544	0.0067	0.4016	0.5201	-0.3092	2.7115	-0.6053	0.6583	-0.8817	1.4875	0.066	1.1321	-0.2302	1.6849	-1.0594	0.4806	1.2308	-0.0328	0.6583	0.9741	0.9939	1.5072	-0.625	0.7965	1.2308	-0.4276	-0.2302	1.5862	-0.3684	2.8102	2.0995	-0.0525	1.8626	0.4213	-0.8225	-1.0002	0.3819	0.5201	0.2042	1.6059	2.0403	0.5398	0.6977	0.8162	-0.625	-0.092	0.8162	0.4016	-0.862	1.4282	0.8162	-0.1512	0.3621	-1.2766	1.1123	2.0403	0.5398	1.4875	1.5862	-1.0791	-0.4474	1.8823	1.8626	0.2634	1.0136	1.8231	1.1716	0.4411	0.3819	-0.3092	-0.1315	-0.4474	0.5003	0.3424	2.9682	0.2042	-0.2104	0.2634	3.7382	2.4746	0.4608	3.8764	1.0334	4.0738	-0.2302	2.0403	1.6059	-0.092	0.8952	-0.4079	0.5201	-0.7238	0.3819	1.2505	0.678	1.0136	0.4213	0.5595	0.0857	0.5793	-1.0791	0.9149	0.1844	0.0857	0.9544	1.7441	1.981	-0.6843	0.1449	-0.4276	1.0136	1.1716	0.2042	0.5595	-0.2894	-0.1512	0.3226	1.0926	2.5931	0.3226	-1.5727	1.7244	0.7767	-0.9014	-0.2697	-0.7435	-0.0328	-0.3092	0.2831	-0.5461	-0.9212	1.29	0.7767
AT2G04100	-0.171	0	-1.3753	-1.1976	0.599	-0.625	-0.6645	1.0334	-1.2173	0.6583	-0.4868	1.6849	0.0462	0.0067	-0.8027	-0.0722	0.2437	0.0857	-0.783	0.4016	0.9741	0.599	-0.9212	-0.6053	0.599	-0.171	-0.9014	-0.8027	-1.1976	-0.1512	-1.2371	-0.625	-0.2302	-0.5263	-0.5461	1.0531	0.8557	0.4411	-1.5332	0.5003	-0.9014	1.1123	-1.1384	-0.862	-0.1512	1.0729	-0.9607	-0.7435	0.6977	0.0462	-0.092	0.5201	-0.092	1.0926	-0.4671	1.8231	0.5793	-1.1778	-0.0525	-0.092	0.6188	0.2042	3.0077	0.8162	-0.6843	-0.4276	-0.8422	0.0857	1.8428	-0.5658	0.0265	0.0857	0.066	-0.6448	-1.4148	0.066	-0.2104	-0.171	0.7767	0.3424	-0.6053	0.2634	-0.3092	-1.4148	1.0926	0.4608	-0.013	0.8557	0.2634	0.8359	1.448	-0.5658	-0.4079	-0.6053	0.1252	0.2634	0.066	0.5398	1.7836	-1.6517	0.9741	-1.2963	0.599	-0.3289	-0.625	-0.1117	0.9347	0.757	0.0067	-1.553	-0.783	-1.0002	0.7965	-0.1117	0.7175	-0.6448	-0.9804	0.2437	-0.4671	-0.862	-0.7238	1.0926	-1.2371	0.5595	-0.2894	0.9741	0.1844	0.5201	-0.1315	-1.7109	0.066	-0.3486	0.4806	-0.2302	2.751	0.3819	0.4608	0.4411	0.6583	-1.3161	0.6188	-0.1117	0.0462	1.2111	0.066	-0.5658	-0.3881	0.3621	-0.9804	0.4806	0.1647	0.3819	-1.3555	0.1647	0.1252	-0.4276	1.3887	-0.4868	-1.0199	-0.1315	0.5793	2.4549	-0.0722	0.3621	-0.5263	-0.2104	0.0265	-0.1907	1.1716	2.3759	-0.2104	0.3226	1.3887	-0.0525	-0.2697	1.5467	-0.5066	-0.7238	-0.171	0.3424	0.8162	1.1321	-0.9607	-0.4671	-0.3684	0.1844	-0.5461
AT2G10940	0.2437	-1.3753	0	6.0086	-0.3881	-0.9804	-0.1907	-0.5066	0.0067	-1.2371	0.066	0.7767	1.2505	-0.0525	-0.5658	0.7767	0.5201	0.9741	0.3819	2.6128	0.1252	0.9544	3.9751	-0.3486	-0.4474	1.7639	0.599	-0.1315	1.1716	0.7372	1.4677	0.3424	1.3493	-0.1117	1.0531	-0.2499	-0.8027	-0.5461	5.2781	0.2042	1.981	-0.1512	-0.171	0.7372	-0.2697	-0.171	-0.1907	0.7372	-0.2894	-0.5856	0.5793	0.3621	-0.3092	0.2042	1.1518	-0.0525	1.1321	-0.1512	1.1321	0.5398	-0.4079	1.1321	-0.5461	0.4016	0.4411	-1.2568	-0.3684	-0.5263	0.1252	0.5201	0.0067	0.8754	0.7767	3.8369	1.4085	-0.8817	-1.7307	-0.3092	0.9544	0.066	0.1844	0.8557	-0.5461	1.5072	-0.1907	0.1449	0.2042	1.4677	0.9149	-0.7435	-0.4868	2.1982	-0.1907	2.06	0.4016	-0.1117	0.7965	1.0136	1.1123	1.6059	-0.2499	0.4016	-0.013	1.369	0.2042	-1.1778	-0.0328	-0.3289	-0.1907	1.4875	0.8754	0.1844	-0.9014	-1.2568	-1.3358	1.0334	-0.4276	0.4806	1.4677	0.3424	0.7372	0.8162	0.5201	-0.3486	1.2505	-0.013	-0.7632	-0.2894	0.6583	1.1123	0.0857	-0.3092	-0.2697	0.5595	0.2239	1.0926	0.2042	0.7965	-0.4474	0.4608	0.4608	0.4411	-0.7238	-0.625	-0.2302	0.3029	0.4016	-0.3684	2.06	-1.0396	-0.2894	-0.4671	-0.092	-0.092	0.9939	-0.5461	-1.5925	1.7046	0.1252	0.2634	-1.3358	0.1449	-0.013	-0.5658	3.3631	1.369	-0.2499	0.1055	-0.1907	-0.1315	-0.5263	-0.4868	-0.9212	1.5862	0.8952	-0.4868	-0.092	-0.6053	-0.2104	-0.625	-0.3092	-1.2963	0.3621	-0.2499	0.0462	0.7175	1.1913
AGP9	-0.0722	-1.1976	6.0086	0	-0.6053	0.3621	-0.5461	1.369	-0.2894	-0.2894	1.0729	-0.4474	0.4016	-0.092	-0.171	0.0462	-0.1512	-0.9607	0.8557	1.527	0.1647	1.6652	1.4282	-0.8225	-0.0722	1.4875	1.1123	-0.013	2.4944	0.1647	0.4608	-0.4868	0.0067	0.0462	1.6849	-0.2104	-0.3289	-0.625	4.4489	-0.2697	5.1399	-0.5658	-0.8027	-0.2104	-0.013	-0.5658	-0.625	1.8231	-0.3486	0.0857	0.6583	0.4806	0.599	-0.5461	0.5398	-0.1907	0.6385	0.1055	-0.4276	0.757	-1.1976	0.4806	0.7965	0.678	0.4213	-0.8422	-0.7238	-0.4276	-0.092	0.8557	0.0462	1.448	1.5664	4.9425	2.0205	0.0462	-0.3092	-0.6448	0.2634	-0.1117	0.678	0.3226	-0.4671	2.9287	-0.1117	0.2042	0.3029	0.1647	3.4618	-0.3881	0.4411	0.066	0.3621	0.3819	-0.1315	-0.1315	0.5595	3.2841	-0.013	0.3424	0.4016	-0.2302	-1.1186	0.0857	-0.6843	-0.1907	-0.171	-0.6645	-0.1512	0.7175	1.3887	-1.1581	-1.3753	-1.3753	-0.9014	0.2239	0.0067	0.3621	0.2437	-0.3486	0.3029	0.3226	1.0334	0.3621	1.4282	0.0462	-0.5658	-0.3486	-0.1117	-0.2697	0.2634	0.6583	-0.5658	0.8952	-0.0328	-0.0722	0.0067	-0.1907	0.2437	0.0462	1.6849	0.1055	-1.6714	-0.9607	-0.783	-0.1117	-0.1315	-0.862	2.0205	-0.4671	0.1449	0.4411	-0.4276	0.0462	0.2831	-0.625	0.1647	2.0205	1.8823	0.7965	0.4411	0.3029	0.6977	0.0462	6.9958	0.4608	0.0067	0.0857	-0.4868	-0.2894	-0.7435	-1.0396	-1.0002	0.1449	0.1449	-0.4474	-0.6843	-0.0722	-1.0396	-0.9212	0.0857	-0.6843	0.3424	-0.2499	-0.3486	0.1252	0.2239
MYB7	0.2634	0.599	-0.3881	-0.6053	0	0.757	1.1518	1.369	1.5862	-0.013	1.6059	0.9939	0.2634	0.4806	-0.5658	2.3364	-0.1117	0.8162	2.3167	-0.1117	2.5338	1.2111	0.9544	0.7965	1.3098	-0.7435	2.4944	1.6059	0.3424	2.9287	-0.6053	0.8754	0.2042	2.4549	1.369	3.8764	-0.9409	0.3226	-0.2104	1.8231	-0.4671	1.9416	1.6257	0.6385	1.4282	3.9159	0.7372	-0.7435	0.2239	0.5595	1.1321	0.7965	1.8428	1.2703	0.8952	1.8034	0.7965	-0.3684	-0.6053	1.448	0.2437	-0.3881	1.2308	0.8754	1.7639	0.8952	0.6385	0.5398	0.4213	0.9149	-0.5066	0.599	0.4016	-1.0594	0.3226	1.527	1.981	1.9416	-1.395	0.3226	1.1716	0.6583	0.5793	0.2042	1.1913	0.8162	1.2111	1.3098	0.599	0.4806	1.6849	-1.0396	1.3295	-0.4079	0.7175	2.2574	1.2308	-0.3486	0.7372	-0.092	0.0067	0.8557	2.1192	-0.2894	0.9939	1.1518	0.4411	4.7056	-1.0396	0.9544	-0.7238	1.29	0.757	1.8626	0.9741	-0.4276	0.3226	1.3493	0.066	0.8952	-0.9212	0.5398	1.1913	1.2111	0.1252	1.1321	2.2772	2.0205	0.757	0.5398	1.1716	1.3493	2.0798	-1.3161	1.2505	0.7965	0.1844	0.4016	2.8497	2.4746	-0.0525	1.3098	0.4608	-0.171	0.4806	-0.5066	-0.1512	1.7441	-2.2045	1.8428	1.369	-0.2894	1.3295	-0.0328	-0.1907	0.2634	0.5201	-0.7632	1.1518	2.5536	2.4154	1.3295	0.2437	0.757	-0.9804	2.0205	-0.3684	2.3956	0.5595	2.2772	0.7175	-0.6843	0.2831	0.1844	1.0926	2.6918	1.1518	1.1913	0.1449	1.7836	2.6128	0.6385	1.527	1.4085	0.7372	0.1647	-1.474
HIS1.3	0.1647	-0.625	-0.9804	0.3621	0.757	0	0.1055	0.4016	1.6059	0.8952	0.757	-0.1512	-0.3684	2.7313	-0.4671	0.3424	1.7244	-0.625	-0.5066	0.1252	0.9347	0.6385	-1.2173	-1.6714	0.1252	0.6385	-0.2894	-1.4543	1.1321	0.6583	-0.4474	0.9741	0.2634	0.2831	0.4411	1.2703	0.5398	2.7313	0.5003	0.2239	0.1449	-1.3555	-0.2104	1.7244	-1.4937	-0.6645	-0.6645	0.6385	1.9613	2.8102	2.139	-0.6448	-0.8225	-0.4671	1.1913	0.8359	-1.3358	0.4608	-1.2371	-0.9212	-1.1778	0.7372	0.3424	-0.6053	-0.8817	1.2505	1.5467	0.4411	-0.7238	0.2831	1.981	0.5003	1.0531	-1.6714	-0.5856	2.3759	-0.3486	0.2831	0.4411	2.1785	-0.3289	0.8952	0.6385	-0.0328	0.6188	0.0265	-0.092	0.5003	1.0334	1.7639	1.7441	-0.704	0.8952	0.1252	-0.171	0.6385	1.1913	0.4608	-0.5856	-0.171	-1.0199	1.6454	-1.8294	0.2831	0.4411	2.3956	0.7767	1.2505	-0.092	-0.8225	-0.171	0.4213	1.1518	1.3493	0.6583	0.3029	0.8754	-1.2568	0.3226	0.2634	-0.2697	0.0462	0.4608	1.4677	0.7965	-0.6645	0.5398	0.599	0.0067	-0.013	-0.2302	0.3621	1.2505	-0.013	0.0857	0.9544	0.2042	0.4016	1.5862	2.1785	-0.5658	0.2634	1.369	0.8162	0.2634	1.3493	2.1587	0.7965	-1.7307	2.218	1.29	-0.1315	-0.2894	3.1261	-0.783	0.6385	-0.1907	0.1844	-0.8817	0.0462	0.8952	-0.3289	0.3819	0.757	0.2437	2.4944	-0.0722	-0.5461	-1.1581	1.6059	0.8952	-0.1315	-0.1512	-0.0722	-0.1512	0.4608	-0.1907	0.1844	1.7441	1.8428	1.4282	1.5664	0.4806	-0.3486	1.1321	1.1123	0.4806
AT2G19310	-0.5461	-0.6645	-0.1907	-0.5461	1.1518	0.1055	0	-0.3486	0.6188	0.0067	0.0462	0.5201	-0.3684	0.3621	-0.1907	0.7175	-0.4276	-0.4671	-0.2302	0.2042	0.8754	0.1844	-0.3092	-0.013	0.0857	0.1252	0.0265	-0.0525	0.3621	0.678	1.3098	0.3226	1.4085	-0.2894	0.2042	-0.013	-0.625	0.1844	0.1449	-0.3486	-1.1976	4.5674	1.29	1.3887	4.6069	4.6266	1.1716	0.1647	-0.1315	0.7767	1.7244	1.6454	-0.5658	1.4875	1.8231	-1.2766	0.0265	1.0926	1.0729	-0.3486	0.7965	-0.013	-0.704	1.6652	-0.3881	1.0531	0.6977	0.5201	1.5862	1.0334	0.3029	-0.0525	-0.1512	-0.4276	-0.9804	2.5338	0.3226	1.369	1.6849	0.6188	0.1647	0.3226	3.0867	-0.0525	-0.0722	0.6188	-0.625	-0.171	-1.2173	0.3029	0.2634	0.066	-0.6448	-0.092	0.3226	-0.2499	0.9741	-1.2371	-0.5856	0.3029	-0.625	1.1913	0.0857	-0.2104	0.4411	-0.7435	0.4016	1.1123	-0.5658	-0.9804	-0.4276	-0.0525	-0.092	0.1844	1.0136	-1.0199	0.3819	0.9741	-0.2499	0.7175	-0.2499	0.3819	0.2831	-1.0989	0.0067	5.3176	-0.2104	0.2437	-0.7238	-0.2894	1.4085	-1.1186	-0.0722	0.1449	0.5398	0.4213	3.9356	-0.1315	-0.7238	-0.704	-0.625	1.2308	0.0067	1.7836	0.2437	0.2437	1.5467	1.5467	-0.6053	4.0935	0.7175	-1.2173	-0.3486	0.8952	-0.5658	1.5467	-0.1315	-0.862	-0.4474	1.7639	-0.2894	-0.6053	-0.171	0.3621	-0.4868	-0.1315	1.0334	6.6601	0.4806	0.6977	-0.8817	0.0462	1.1123	0.599	0.1647	-0.092	0.8162	0.3029	-0.5066	1.448	-0.1512	0.3621	0.678	0.6385	0.7175	1.3493	0.0067
TET2	1.2308	1.0334	-0.5066	1.369	1.369	0.4016	-0.3486	0	0.4608	-0.171	-0.3289	-0.5856	1.8626	0.0067	1.9021	0.1449	0.599	-0.4868	2.4944	1.1123	1.1716	1.7441	1.4677	-0.5066	0.0067	-0.4474	1.4875	0.6583	-0.4276	0.4806	-0.5263	-0.5461	0.678	0.6977	3.1656	0.2437	0.0462	0.9544	-0.4276	0.0857	0.9741	0.0067	1.3493	0.1449	0.9741	0.2042	0.3819	-0.013	0.757	0.9149	1.3295	2.3956	0.5201	0.3621	1.0136	-0.5066	1.2703	0.1449	1.1123	3.1854	-0.2894	-0.3881	2.1587	1.1518	-0.171	-0.6843	0.7372	0.599	1.6059	2.4746	0.6583	0.4608	0.3226	1.0334	1.1913	0.9544	-0.5856	-1.1778	-0.0328	1.369	2.3562	2.3167	0.6977	-0.704	0.3621	-0.2697	0.9149	1.7244	1.3098	0.9149	1.2505	-0.5066	0.8754	-0.171	0.0462	-0.2894	1.9021	2.1192	-0.704	-1.4543	1.2703	-0.2104	0.3819	0.2042	1.5862	0.7767	0.6977	-0.1117	-0.1907	-0.9409	-0.9014	-0.092	0.0857	-1.0396	0.2634	-0.7435	0.2831	-0.1117	0.8754	-0.7632	-0.1117	0.4608	-0.9804	1.448	1.2308	0.9149	1.6849	0.0857	-0.1512	-0.862	1.2111	0.0462	1.8823	-0.9212	1.9218	0.2437	0.599	-1.5332	0.4213	-0.8817	-1.0989	-0.5461	-0.4868	-1.8886	0.3226	1.3295	-0.6053	0.6188	0.6583	1.3098	0.678	0.4213	-0.3684	1.1321	-0.6645	0.9347	-0.4868	0.1844	0.3819	1.0729	0.4411	-0.2894	0.9939	1.9613	0.599	0.2831	0.7372	1.7639	-0.4671	0.1055	0.066	0.3621	0.7175	0.6977	1.0531	0.1844	-0.5263	0.2437	-0.8422	0.0265	0.4016	1.1518	0.7372	-0.4868	0.599	-0.013	-0.0328
HB6	2.1982	-1.2173	0.0067	-0.2894	1.5862	1.6059	0.6188	0.4608	0	1.6257	3.3828	-1.4148	-0.5461	0.0462	0.0067	2.0995	1.5467	0.2437	0.3424	1.6849	-0.3092	0.2831	2.8102	-1.3358	-1.8294	0.7175	-0.8225	-0.625	1.1321	1.3493	-1.3555	3.5407	0.5201	-0.6843	1.0334	1.9416	0.3226	0.678	-0.2499	-0.0525	1.5862	-0.625	1.6652	0.0462	-0.8027	0.7965	0.9149	0.9544	-0.1117	3.1064	2.8497	0.4213	-0.2302	-0.704	-0.783	2.1587	-0.783	0.2239	-1.0396	0.8162	0.3226	-0.9014	-0.9607	-0.3092	-0.092	1.448	-0.013	0.4016	-0.5658	-0.2499	-0.8422	-0.1315	0.0265	-0.783	-0.6645	2.0008	-0.013	0.0857	-0.5461	-0.3289	0.5003	0.8952	-0.4474	0.8162	0.9939	-1.0199	1.1518	1.1123	-0.013	-1.6319	1.1716	-0.4868	1.4677	0.8754	0.9347	1.1321	0.9741	0.3029	0.1252	0.9544	0.3029	0.8557	-0.9409	1.9416	0.2239	0.6188	0.599	1.981	-1.8096	1.4677	0.0265	2.0008	0.8952	1.29	-0.5066	-0.5066	3.1656	0.7372	0.0265	3.0669	-0.092	-0.3486	1.0136	1.1716	-1.395	-0.0328	-0.092	0.1252	1.9218	1.0136	-0.6448	4.2515	3.4618	0.5398	0.757	0.2042	0.1055	1.3098	-0.5461	3.521	-1.7307	0.8359	1.0531	1.448	1.1321	0.757	1.1123	-0.013	0.3819	0.4806	-0.5263	-0.7238	0.7372	0.4016	0.3819	-0.0328	-0.6448	0.6583	-0.4671	-0.1907	1.0926	-0.5461	0.6385	-0.5066	-0.2104	-0.171	-0.6843	-0.3881	-0.3486	0.1449	0.4806	0.3819	-0.8817	-1.6122	1.1913	2.0995	-0.6843	0.8557	-1.2568	0.8162	-0.625	0.0462	1.5664	-0.704	0.678	0.6188	-0.092
SVP	1.8428	0.6583	-1.2371	-0.2894	-0.013	0.8952	0.0067	-0.171	1.6257	0	-0.4474	1.6059	0.2042	0.757	0.2437	0.2437	-1.2173	0.5003	-0.2697	0.5201	0.1449	-0.3486	0.6583	-0.5461	0.9741	1.4085	-0.9014	-0.8225	0.7965	0.599	-1.1581	1.9613	0.757	-0.2894	0.4608	-1.3555	0.9939	-1.0396	-0.7238	-0.4868	-0.4079	-1.7307	0.4806	-0.2302	0.6188	0.066	0.9741	1.2505	-0.5658	2.8102	1.1518	-0.1315	0.6188	1.2505	0.0067	-0.3881	-0.6843	0.8754	0.4608	0.8754	-0.9014	-0.8817	-0.2302	1.7836	-0.625	1.6059	0.9347	2.2377	-1.2173	-0.625	0.7965	-0.5461	-0.2104	0.2239	-0.171	3.0472	0.5793	0.9347	-0.8027	0.3226	0.9347	0.0857	0.6583	1.0926	0.8162	0.1449	0.9544	0.7767	-1.1384	-0.013	1.8626	-1.0002	-0.2894	1.29	0.9149	0.1449	-0.862	-1.3358	-1.7504	-0.2894	1.1913	0.0462	-0.9607	0.4608	0.1252	-0.5658	-0.1512	0.3424	-0.0328	0.6583	-0.1117	-1.1778	2.8892	0.678	0.4213	0.1252	0.7175	-1.5135	0.6977	-0.2894	0.0857	-0.4671	0.0857	-0.1117	-1.4937	-1.2766	0.0857	0.4806	2.3562	-0.1117	-1.4148	1.1321	2.0008	-0.1512	0.8952	1.9613	-0.1315	0.9741	0.7175	0.4608	0.7767	0.6583	1.1716	1.7639	0.7372	-1.5727	1.9021	0.7767	-0.1907	1.6652	0.066	0.678	-0.9804	1.3493	-0.7238	1.5862	0.6977	0.599	-0.3289	0.2042	1.0926	-0.2894	0.0857	0.8557	-0.3881	0.1449	0.1449	-0.704	0.8359	0.3029	1.5664	-0.4079	0.8754	-0.6448	-1.5925	1.7046	0.678	-0.9409	-0.9409	-1.0989	0.5003	0.7372	-0.2302	-0.0525	-0.3289	0.3819	0.0067
