Geneid	logFC
At1g12240	1.53
At4g10040	1.53
AtMg01170	1.74
At2g14890	1.44
At2g47930	1.49
At4g12730	1.54
At4g30270	1.48
At2g37640	1.71
At2g40610	2.13
At4g14130	3.17
At4g17030	1.78
At4g30290	1.61
At5g23870	1.45
At2g43710	1.32
At5g51210	2.36
At2g38530	2.78
At5g07000	1.91
At5g07010	5.32
At1g68620	2.25
At1g64660	3.87
At5g66690	1.82
At3g57010	1.68
At2g39980	2.83
At4g34000	1.66
At2g47770	2.31
At1g29420	1.82
At1g29490	1.61
At1g75590	1.81
At2g18010	2.82
At2g33830	2.64
At3g03820	1.58
At3g03830	1.88
At4g27260	3.05
At4g34770	2.1
At4g38860	1.86
At5g18030	4
At5g43450	1.67
At1g04310	1.69
At3g23150	1.87
At5g25190	2.05
At3g11930	1.89
At1g30040	1.7
At2g01570	1.31
At5g27320	1.43
At5g59845	1.53
At3g54420	1.56
At5g44973	2.16
At3g08970	1.43
At3g14200	1.82
At4g21320	1.71
At5g51440	4.36
At2g41010	1.46
At3g54510	1.5
At3g10985	2.85
At5g66590	2.11
At1g49660	1.57
At5g14780	1.76
At1g66540	1.89
At2g29090	2
At3g48280	1.51
At4g14930	1.47
At1g14890	1.47
At1g62770	2.43
At4g25260	3.17
At1g64640	1.74
At4g15550	2.29
At2g10940	1.84
At4g12510	4.07
At4g12520	4.02
At3g50560	2.88
At3g04010	1.48
At1g04610	1.5
At4g28720	2.51
At1g09140	1.63
At2g46610	1.51
At5g44260	4.65
At2g18550	2.46
At2g22430	1.39
At3g01470	1.69
At4g36740	1.76
At5g47370	1.35
At5g53980	2.26
At5g66700	3.06
At2g16720	1.52
At1g70000	1.7
At3g18550	1.76
At1g22190	1.85
At1g36060	2.53
At1g44830	2.62
At1g75490	2.76
At2g36270	1.83
At2g46270	1.56
At1g09250	1.59
At1g73830	2.29
At3g17100	1.48
At5g49700	1.98
At5g57660	2.25
At5g60850	1.59
At2g07726	1.68
At2g43060	1.83
At5g10770	1.52
At1g22910	1.47
At2g18050	2.52
AtMg00210	1.66
At2g01010	1.78
At5g02760	2.67
At1g75440	1.37
At1g26800	2.42
At3g43430	1.67
At4g10150	1.59
At4g11360	1.64
At2g42620	1.58
At5g25350	1.77
At4g04620	1.54
At5g48150	1.47
At5g12940	2.26
At5g01740	2.82
At4g27280	1.56
At5g54490	1.47
At4g15800	1.43
At5g19120	1.8
At1g13245	1.74
At1g28330	2.09
At1g69490	3.05
At1g77450	1.83
At2g19580	1.8
At2g22540	1.4
At3g03270	1.39
At3g53232	1.73
At4g13395	2.31
At5g39610	3.25
At1g79520	1.67
At4g10310	1.69
At5g47560	1.83
At2g37170	1.5
At2g39010	1.6
At2g45960	1.6
At3g53420	1.56
At4g17340	2.45
At1g69850	1.71
At3g62650	1.33
At4g17550	1.66
At1g58340	1.77
At2g04100	1.34
At1g21680	1.95
At1g73480	1.94
At2g07699	1.64
At2g35150	1.37
At3g12050	1.45
At3g26510	2.05
At5g02230	2.26
At5g17780	1.98
At3g17520	1.83
At1g23050	1.78
At1g70985	3.18
At1g02470	1.76
At1g06980	1.74
At1g10140	1.77
At1g11210	1.99
At1g13990	1.84
At1g16850	2.28
At1g21525	1.81
At1g29465	2.24
At1g32520	1.41
At1g36940	1.94
At1g53180	1.85
At1g61667	1.55
At1g65490	2.36
At1g66080	1.61
At1g71110	1.29
At1g79270	1.75
At2g19310	2.19
At2g28400	3.34
At2g31110	1.57
At2g35950	2.01
At2g36220	1.42
At2g36630	2.24
At2g37750	2.06
At2g40000	1.86
At2g41230	3.91
At2g41760	1.65
At2g42900	1.65
At2g44080	2.76
At3g02910	1.87
At3g03870	1.66
At3g08030	1.43
At3g11690	1.61
At3g15770	1.8
At3g23170	1.73
At3g28857	2.63
At3g29575	2.88
At3g57400	1.47
At3g59900	3.34
At4g05070	1.54
At4g14270	1.85
At4g21930	2.17
At4g22545	1.7
At4g31351	1.44
At4g32480	1.97
At4g35720	2.85
At4g36648	1.51
At5g02020	2.77
At5g03210	2.57
At5g13500	1.32
At5g14690	1.52
At5g47420	1.35
At5g49170	1.46
At5g50335	2.9
At5g50360	1.87
At5g57760	2.67
At5g60840	1.5
At1g01520	1.45
At4g20130	-1.48
At2g28210	-2.37
At1g26570	-1.31
At1g19940	-1.58
At1g67830	-1.45
At1g11580	-1.74
At2g47240	-1.82
At1g06360	-1.61
At5g08030	-1.31
At3g22740	-2.12
At5g14060	-1.34
At3g59760	-1.5
At3g14540	-1.69
At1g74470	-1.31
At5g62790	-1.41
At1g74000	-1.56
At4g22880	-2.95
At5g05860	-2.02
At2g01830	-1.61
At1g08520	-1.37
At4g18480	-1.55
At4g25080	-1.36
At4g27440	-1.64
At5g54190	-3.33
At3g12170	-1.66
At4g30650	-1.75
At2g46650	-1.92
At3g23580	-1.52
At3g46940	-1.37
At4g37550	-1.43
At3g44970	-2.31
At1g52400	-2.06
At1g31690	-2.43
At2g30860	-1.44
At5g26742	-1.4
At1g63100	-1.55
At5g17800	-1.44
At2g37260	-1.52
At4g31800	-1.56
At4g31610	-1.33
At1g19050	-2.41
At1g26260	-1.46
At5g41315	-1.43
At5g53210	-1.47
At1g03457	-1.33
At1g70070	-1.44
At3g45980	-1.52
At3g53650	-1.63
At5g47730	-1.31
At5g47190	-1.48
At4g01310	-1.45
At3g44890	-1.39
At1g71720	-1.35
At3g20230	-1.41
At3g06030	-1.5
At1g66050	-1.41
At1g67180	-1.32
At2g23010	-2.73
At1g51805	-1.5
At2g28250	-1.41
At3g55660	-1.53
At2g24600	-1.39
At3g23670	-1.47
At5g59970	-1.52
At3g02450	-1.39
At1g47210	-1.44
At1g04770	-1.55
At2g16660	-1.88
At2g37450	-1.47
At3g18390	-1.53
At1g53390	-1.31
At1g10657	-1.56
At1g58270	-1.71
At1g68780	-1.55
At2g26400	-2.88
At3g20270	-1.43
At3g23080	-1.56
At3g52920	-1.39
At5g55520	-1.44
At3g59040	-1.36
At1g05440	-1.45
At1g06420	-1.41
At1g45010	-1.35
At1g69610	-1.41
At2g28150	-1.45
At2g30695	-1.46
At2g33793	-1.65
At2g37660	-1.52
At3g14190	-1.55
At3g17160	-1.49
At3g18170	-1.8
At3g18900	-1.56
At3g28460	-1.48
At4g10060	-1.4
At5g28287	-1.5
