TPT_line	agi_code	Annotation
TPT_1.01010.1E	1.01010.1E	ANAC001 AT1G01010.1 Hygromycin-resistant T4 seeds
TPT_1.01010.1F	1.01010.1F	ANAC001 AT1G01010.1 Hygromycin-resistant T4 seeds
TPT_1.01010.1G	1.01010.1G	ANAC001 AT1G01010.1 Hygromycin-resistant T4 seeds
TPT_1.01030.1A	1.01030.1A	NGATHA3 (NGA3) AT1G01030.1 Hygromycin-resistant T4 seeds
TPT_1.01030.1G	1.01030.1G	NGATHA3 (NGA3) AT1G01030.1 Hygromycin-resistant T4 seeds
TPT_1.01250.1A	1.01250.1A	DREB subfamily A-4 of ERF/AP2 trans AT1G01250.1 Hygromycin-resistant T4 seeds
TPT_1.01250.1F	1.01250.1F	DREB subfamily A-4 of ERF/AP2 trans AT1G01250.1 Hygromycin-resistant T4 seeds
TPT_1.01260.2C	1.01260.2C	(bHLH) DNA-binding superfamily protAT1G01260.2 Hygromycin-resistant T4 seeds
TPT_1.01260.2G	1.01260.2G	(bHLH) DNA-binding superfamily protAT1G01260.2 Hygromycin-resistant T4 seeds
TPT_1.01260.2I	1.01260.2I	(bHLH) DNA-binding superfamily protAT1G01260.2 Hygromycin-resistant T4 seeds
TPT_1.01520.1F	1.01520.1F	Homeodomain-like superfamily proteAT1G01520.1 Hygromycin-resistant T4 seeds
TPT_1.01780.1B	1.01780.1B	PLIM2B AT1G01780.1 Hygromycin-resistant T4 seeds
TPT_1.01780.1H	1.01780.1H	PLIM2B AT1G01780.1 Hygromycin-resistant T4 seeds
TPT_1.03800.1A	1.03800.1A	ATERF10 AT1G03800.1 Hygromycin-resistant T4 seeds
TPT_1.03800.1E	1.03800.1E	ATERF10 AT1G03800.1 Hygromycin-resistant T4 seeds
TPT_1.03970.1B	1.03970.1B	GBF4 AT1G03970.1 Hygromycin-resistant T4 seeds
TPT_1.03970.1E	1.03970.1E	GBF4 AT1G03970.1 Hygromycin-resistant T4 seeds
TPT_1.03970.1I	1.03970.1I	GBF4 AT1G03970.1 Hygromycin-resistant T4 seeds
TPT_1.04100.1G	1.04100.1G	IAA10 AT1G04100.1 Hygromycin-resistant T4 seeds
TPT_1.04100.1H	1.04100.1H	IAA10 AT1G04100.1 Hygromycin-resistant T4 seeds
TPT_1.04240.1B	1.04240.1B	IAA3/SHY2 AT1G04240.1 Hygromycin-resistant T4 seeds
TPT_1.04240.1E	1.04240.1E	IAA3/SHY2 AT1G04240.1 Hygromycin-resistant T4 seeds
TPT_1.04370.1E	1.04370.1E	ATERF14 AT1G04370.1 Hygromycin-resistant T4 seeds
TPT_1.04370.1I	1.04370.1I	ATERF14 AT1G04370.1 Hygromycin-resistant T4 seeds
TPT_1.04550.1G	1.04550.1G	BDL_IAA12 AT1G04550.1 Hygromycin-resistant T4 seeds
TPT_1.05710.1C	1.05710.1C	basic helix-loop-helix (bHLH) DNA-bin AT1G05710.1 Hygromycin-resistant T4 seeds
TPT_1.05710.1E	1.05710.1E	basic helix-loop-helix (bHLH) DNA-bin AT1G05710.1 Hygromycin-resistant T4 seeds
TPT_1.05805.1C	1.05805.1C	(bHLH) DNA-binding superfamily protAT1G05805.1 Hygromycin-resistant T4 seeds
TPT_1.05805.1E	1.05805.1E	(bHLH) DNA-binding superfamily protAT1G05805.1 Hygromycin-resistant T4 seeds
