#Table S3: Transgenic lines for ChIP 
#transgene	geneticBackground	vector	tag	tagPosition	promoter
ABF1	Col-0	TAC:JAtY62D20	FY	N	native
ABF3	Col-0	plasmid:pMDC123	FY	N	native
ABF4	Col-0	TAC:JAtY60O20	FY	N	native
GBF2	Col-0	TAC:JAtY57G14	YHF	C	native
GBF3	Col-0	TAC:JAtY66N23	YHF	C	native
ANAC032	Col-0	TAC:JAtY50N03	YHF	C	native
ANAC102	Col-0	TAC:JAtY49D11	YHF	C	native
RD26	Col-0	TAC:JAtY76M07	YHF	C	native
NFYB2	Col-0	TAC:JAtY63D09	YHF	C	native
NFYC2	Col-0	TAC:JAtY80H06	YHF	C	native
HSFA6A	Col-0	TAC:JAtY57L24	FY	N	native
DREB2A	Col-0	TAC:JAtY68D04	YHF	C	native
HAT22	Col-0	TAC:JAtY77C04	YHF	C	native
HB5	Col-0	TAC:JAtY58F22	YHF	C	native
HB6	Col-0	TAC:JAtY79K18	YHF	C	native
HB7	Col-0	TAC:JAtY67K15/JAtY67E11	YHF	C	native
MYB3	Col-0	TAC:JAtY71B10	YHF	C	native
MYB44	Col-0	TAC:JAtY56M19	YHF	C	native
ZAT6	Col-0	TAC:JAtY70O03	FY	N	native
At5g04760	Col-0	TAC:JAtY60K23	YHF	C	native
FBH3	Col-0	TAC:JAtY61G02	YHF	C	native
DTAF1	Col-0	plasmid:pDEX1MX	GFP	N	6xOP
DTAF2	Col-0	plasmid:pDEX1MX	GFP	N	6xOP
