Model_name	Symbol	Full Name	Short_description	sample_1	sample_2	value_1	value_2	log2(fold_change)	q_value
AT3G18550.2	AtBRC1		TCP family transcription factor 	GFP-BRC1	brc1 k.o.	1721.95	0.7964855	-11.07810753	0.000421383
AT5G58080.1	ARR18	response regulator 18	response regulator 18	GFP-BRC1	brc1 k.o.	4.97995	0.0233142	-7.73878	0.0435562
AT2G41280.1	ATM10		late embryogenesis abundant protein (M10) / LEA protein M10	GFP-BRC1	brc1 k.o.	41.0284	0.673375	-5.92907	0.000421383
AT5G05220.1				GFP-BRC1	brc1 k.o.	11.1562	0.206409	-5.7562	0.000421383
AT3G46520.1	ACT12	actin-12	actin-12	GFP-BRC1	brc1 k.o.	1.72916	0.0524639	-5.0426	0.00616256
AT3G18485.1	ILR2	IAA-LEUCINE RESISTANT 2	iaa-leucine resistant 2	GFP-BRC1	brc1 k.o.	4.85146	0.155874	-4.95997	0.000421383
AT2G41190.1			Transmembrane amino acid transporter family protein	GFP-BRC1	brc1 k.o.	104.924	3.40591	-4.94516	0.000421383
AT1G16290.1				GFP-BRC1	brc1 k.o.	1.26999	0.0414691	-4.93664	0.0143588
AT1G75600.1			Histone superfamily protein	GFP-BRC1	brc1 k.o.	7.99202	0.274981	-4.86115	0.000421383
AT2G31980.1	AtCYS2	PHYTOCYSTATIN 2	PHYTOCYSTATIN 2	GFP-BRC1	brc1 k.o.	43.4316	1.53405	-4.82333	0.000421383
AT1G19115.2				GFP-BRC1	brc1 k.o.	4.84477	0.186294667	-4.700769899	0.000421383
AT5G06760.1	AtLEA4-5	Late Embryogenesis Abundant 4-5	Late Embryogenesis Abundant 4-5	GFP-BRC1	brc1 k.o.	26.9683	1.11121	-4.60106	0.000421383
AT4G27530.1				GFP-BRC1	brc1 k.o.	8.40692	0.350836	-4.58271	0.000421383
AT1G03120.1	ATRAB28	responsive to abscisic acid 28	responsive to abscisic acid 28	GFP-BRC1	brc1 k.o.	12.3918	0.526183	-4.55768	0.000421383
AT2G44170.1	ATNMT2	ARABIDOPSIS N-MYRISTOYLTRANSFERASE 2		GFP-BRC1	brc1 k.o.	0.824332	0.0390267	-4.40069	0.029556
AT4G25420.1	AT2301		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	GFP-BRC1	brc1 k.o.	26.6385	1.35442	-4.29777	0.000421383
AT3G48510.1				GFP-BRC1	brc1 k.o.	5.01565	0.287821	-4.12319	0.000421383
AT4G09500.2			UDP-Glycosyltransferase superfamily protein	GFP-BRC1	brc1 k.o.	26.9614	1.60886	-4.066784716	0.000421383
AT1G75030.1	ATLP-3	thaumatin-like protein 3	thaumatin-like protein 3	GFP-BRC1	brc1 k.o.	24.3957	1.47635	-4.04652	0.000421383
AT5G50360.1				GFP-BRC1	brc1 k.o.	2.6577	0.179595	-3.88736	0.000421383
AT1G58340.1	BCD1	BUSH-AND-CHLOROTIC-DWARF 1	MATE efflux family protein	GFP-BRC1	brc1 k.o.	32.589	2.24513	-3.85952	0.000421383
AT5G52570.1	B2		beta-carotene hydroxylase 2	GFP-BRC1	brc1 k.o.	40.43145	2.90281	-3.799955894	0.000421383
AT1G52890.1	ANAC019	NAC domain containing protein 19	NAC domain containing protein 19	GFP-BRC1	brc1 k.o.	14.728	1.082	-3.76679	0.000421383
AT5G42290.1			transcription activator-related	GFP-BRC1	brc1 k.o.	3.25848	0.242796	-3.74638	0.00642754
AT5G50240.2	AtPIMT2	Arabidopsis thaliana protein-l-isoaspartate methyltransferase 2	protein-l-isoaspartate methyltransferase 2	GFP-BRC1	brc1 k.o.	8.21885	0.640074333	-3.682625179	0.000421383
AT1G60190.1	AtPUB19		ARM repeat superfamily protein	GFP-BRC1	brc1 k.o.	3.83053	0.317511	-3.59267	0.000421383
AT1G48100.1			Pectin lyase-like superfamily protein	GFP-BRC1	brc1 k.o.	10.3425	0.861132	-3.58621	0.000421383
AT5G51210.1	OLEO3	oleosin3	oleosin3	GFP-BRC1	brc1 k.o.	2.76834	0.233636	-3.56669	0.000800238
AT5G25470.1			AP2/B3-like transcriptional factor family protein	GFP-BRC1	brc1 k.o.	1.38039	0.117161	-3.55851161	0.000800238
AT1G68460.1	ATIPT1	Arabidopsis thaliana isopentenyltransferase 1	isopentenyltransferase 1	GFP-BRC1	brc1 k.o.	3.12787	0.265901	-3.55622	0.000421383
AT1G15150.1			MATE efflux family protein	GFP-BRC1	brc1 k.o.	8.29281	0.712978	-3.53993	0.000421383
AT2G27420.1			Cysteine proteinases superfamily protein	GFP-BRC1	brc1 k.o.	7.14631	0.618178	-3.53111	0.000421383
AT1G27670.1				GFP-BRC1	brc1 k.o.	22.9521	2.04673	-3.48723	0.000421383
AT5G56300.1	GAMT2	gibberellic acid methyltransferase 2	gibberellic acid methyltransferase 2	GFP-BRC1	brc1 k.o.	1.56624	0.14269	-3.45636	0.000421383
AT3G60940.1			Putative endonuclease or glycosyl hydrolase	GFP-BRC1	brc1 k.o.	4.35513	0.400856	-3.44156	0.000421383
AT3G61028.1			Putative endonuclease or glycosyl hydrolase	GFP-BRC1	brc1 k.o.	2.98696	0.278317	-3.42388	0.00149465
AT4G11040.1			Protein phosphatase 2C family protein	GFP-BRC1	brc1 k.o.	0.816903	0.0793461	-3.36393	0.0425555
AT3G50980.1	XERO1	dehydrin xero 1	dehydrin xero 1	GFP-BRC1	brc1 k.o.	2.08452	0.208299	-3.32299	0.00275982
AT2G27300.1	ANAC040	Arabidopsis NAC domain containing protein 40	NTM1-like 8	GFP-BRC1	brc1 k.o.	5.23413	0.523787	-3.3209	0.000421383
AT1G67610.1				GFP-BRC1	brc1 k.o.	2.20318	0.221417	-3.31475	0.000421383
AT1G33102.1				GFP-BRC1	brc1 k.o.	9.66113	0.977845	-3.30451	0.000421383
AT5G13170.1	AtSWEET15		senescence-associated gene 29	GFP-BRC1	brc1 k.o.	31.7799	3.23435	-3.29657	0.000421383
AT1G26290.1				GFP-BRC1	brc1 k.o.	19.9814	2.10166	-3.24905	0.000421383
AT4G28150.2			Protein of unknown function (DUF789)	GFP-BRC1	brc1 k.o.	6.589165	0.7212035	-3.191617351	0.000421383
AT3G63060.1	EDL3	EID1-like 3	EID1-like 3	GFP-BRC1	brc1 k.o.	3.03159	0.336408	-3.17179	0.000421383
AT1G07900.1	LBD1	LOB domain-containing protein 1	LOB domain-containing protein 1	GFP-BRC1	brc1 k.o.	11.7795	1.33883	-3.13723	0.000421383
AT1G12130.1			Flavin-binding monooxygenase family protein	GFP-BRC1	brc1 k.o.	1.08824	0.125219	-3.11947	0.000421383
AT2G35300.1	AtLEA4-2	late embryogenesis abundant 4-2	Late embryogenesis abundant protein, group 1 protein	GFP-BRC1	brc1 k.o.	7.29054	0.858202	-3.08664	0.000421383
AT5G07010.1	ATST2A	ARABIDOPSIS THALIANA SULFOTRANSFERASE 2A	sulfotransferase 2A	GFP-BRC1	brc1 k.o.	40.0091	4.83903	-3.04754	0.000421383
AT3G15270.1	SPL5	squamosa promoter binding protein-like 5	squamosa promoter binding protein-like 5	GFP-BRC1	brc1 k.o.	3.80242	0.46226	-3.04014	0.000421383
AT1G67645.1				GFP-BRC1	brc1 k.o.	1.30986	0.163487	-3.00216	0.00149465
AT2G22240.2	ATIPS2	INOSITOL 3-PHOSPHATE SYNTHASE 2	myo-inositol-1-phosphate synthase 2	GFP-BRC1	brc1 k.o.	11.14575	1.39285	-3.000381896	0.000421383
AT4G24260.1	ATGH9A3	glycosyl hydrolase 9A3	glycosyl hydrolase 9A3	GFP-BRC1	brc1 k.o.	4.62493	0.578458	-2.99915	0.000421383
AT2G36870.2	AtXTH32		xyloglucan endotransglucosylase/hydrolase 32	GFP-BRC1	brc1 k.o.	59.2967	7.462515	-2.990217986	0.000421383
AT3G62990.1				GFP-BRC1	brc1 k.o.	3.48928	0.44153	-2.98234	0.001822
AT4G30180.1			sequence-specific DNA binding transcription factors;transcription regulators	GFP-BRC1	brc1 k.o.	11.4031	1.44709	-2.97819	0.000421383
