# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/mnt/d/PERSONAL_SACO/Cubas lab/R/output/macs2_consensus.gff" "-o" "2022_03_10_feature_counts_macs2_consensus.txt" "-t" "gene" "-g" "gene_id" "-O" "-T" "4" "ChIP2_S5_R1_001_sorted.bam" "ChIP3_S6_R1_001_sorted.bam" "ChIP7_S4_R1_001_sorted.bam" "Input2_S2_R1_001_sorted.bam" "Input3_S3_R1_001_sorted.bam" "Input7_S1_R1_001_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	ChIP2_S5_R1_001_sorted.bam	ChIP3_S6_R1_001_sorted.bam	ChIP7_S4_R1_001_sorted.bam	Input2_S2_R1_001_sorted.bam	Input3_S3_R1_001_sorted.bam	Input7_S1_R1_001_sorted.bam
peak_1	1	2385	2575	.	191	13	25	33	3	16	22
peak_2	1	2641	2649	.	9	0	0	7	1	1	6
peak_3	1	13451	13869	.	419	24	72	119	5	26	29
peak_4	1	19175	19475	.	301	42	88	45	6	34	44
peak_5	1	20559	20822	.	264	31	63	96	0	15	15
peak_6	1	37817	38274	.	458	87	199	171	6	42	57
peak_7	1	39608	39799	.	192	8	38	50	2	17	14
peak_8	1	49217	49406	.	190	8	24	51	4	17	16
peak_9	1	49792	50053	.	262	3	34	71	4	18	24
peak_10	1	51761	52116	.	356	28	62	71	3	26	25
peak_11	1	55721	55766	.	46	1	8	8	0	3	6
peak_12	1	59612	59983	.	372	4	98	104	2	35	32
peak_13	1	77536	77895	.	360	1	71	87	5	23	36
peak_14	1	95526	95973	.	448	1	71	109	8	27	49
peak_15	1	99206	100033	.	828	56	256	320	9	49	53
peak_16	1	107440	108769	.	1330	31	193	266	8	74	114
peak_17	1	115995	116304	.	310	9	45	57	8	39	34
peak_18	1	118543	118819	.	277	8	54	20	3	25	31
peak_19	1	120531	120697	.	167	0	29	72	7	26	38
peak_20	1	131103	131236	.	134	0	16	21	2	13	9
peak_21	1	131248	131507	.	260	29	63	41	4	27	19
peak_22	1	145785	146647	.	863	68	306	347	6	34	43
peak_23	1	146761	147125	.	365	22	89	128	2	28	20
peak_24	1	156098	156149	.	52	2	5	17	0	2	6
peak_25	1	156483	156909	.	427	14	63	132	6	34	43
peak_26	1	159349	159748	.	400	18	77	128	6	29	25
peak_27	1	167838	168337	.	500	19	92	61	18	35	48
peak_28	1	171337	171808	.	472	41	137	106	4	35	40
peak_29	1	172676	173712	.	1037	49	241	271	27	89	109
peak_30	1	176227	176687	.	461	92	173	209	8	21	33
peak_31	1	176906	177199	.	294	55	93	107	11	33	27
peak_32	1	178853	179186	.	334	1	34	45	6	32	38
peak_33	1	182305	182707	.	403	27	111	169	6	26	37
peak_34	1	183148	183647	.	500	21	75	183	1	37	59
peak_35	1	184241	184349	.	109	12	8	26	4	5	21
peak_36	1	184824	185042	.	219	3	50	35	0	16	15
peak_37	1	190032	190645	.	614	114	446	318	16	59	61
peak_38	1	194746	195155	.	410	25	76	137	3	26	29
peak_39	1	198507	198875	.	369	14	95	106	9	34	34
peak_40	1	199368	199497	.	130	4	26	20	1	15	15
peak_41	1	206335	207344	.	1010	97	289	307	25	138	145
peak_42	1	207595	208134	.	540	100	321	278	10	37	47
peak_43	1	208508	208729	.	222	22	30	39	3	15	7
peak_44	1	210561	211233	.	673	21	116	151	13	51	74
peak_45	1	220125	220395	.	271	32	83	101	17	51	52
peak_46	1	227338	227443	.	106	21	8	14	3	15	15
peak_47	1	227555	228607	.	1053	91	353	400	15	53	88
peak_48	1	228817	229060	.	244	4	65	60	4	19	22
peak_49	1	230497	230824	.	328	27	70	116	2	15	13
peak_50	1	239649	240039	.	391	37	117	177	4	31	32
peak_51	1	248679	248769	.	91	1	13	27	0	4	3
peak_52	1	248837	249027	.	191	0	26	29	3	4	9
peak_53	1	268010	268448	.	439	61	227	246	14	63	48
peak_54	1	270325	270840	.	516	76	97	143	10	45	42
peak_55	1	291393	291832	.	440	16	99	141	0	17	36
peak_56	1	292986	293505	.	520	17	101	108	9	41	42
peak_57	1	302338	302345	.	8	2	2	12	0	4	1
peak_58	1	302411	303164	.	754	49	205	197	9	43	70
peak_59	1	309563	309804	.	242	6	30	62	6	24	28
peak_60	1	324916	325358	.	443	36	64	134	6	39	37
peak_61	1	355053	355240	.	188	0	19	73	2	9	25
peak_62	1	356259	356544	.	286	10	51	85	3	9	20
peak_63	1	356658	357421	.	764	34	291	314	2	58	72
peak_64	1	358709	359184	.	476	25	144	160	20	49	52
peak_65	1	364194	364664	.	471	55	92	131	17	35	46
peak_66	1	367774	368650	.	877	38	176	162	20	77	86
peak_67	1	420074	420593	.	520	7	166	215	8	50	51
peak_68	1	426374	426863	.	490	23	107	193	4	26	34
peak_69	1	430754	431407	.	654	43	191	173	8	60	61
peak_70	1	432007	432134	.	128	0	10	30	1	10	16
peak_71	1	434095	434409	.	315	26	70	60	1	19	24
peak_72	1	434483	434764	.	282	8	67	43	4	11	25
peak_73	1	436896	437393	.	498	7	35	135	11	38	48
peak_74	1	439631	440057	.	427	35	116	141	7	35	43
peak_75	1	465410	465538	.	129	4	33	37	3	16	13
peak_76	1	467601	468497	.	897	30	76	259	7	46	76
peak_77	1	468661	469907	.	1247	84	334	291	14	65	90
peak_78	1	471253	472423	.	1171	53	227	339	19	82	100
peak_79	1	476179	477031	.	853	47	208	246	3	36	65
peak_80	1	482042	482813	.	772	42	88	157	15	71	73
peak_81	1	483176	483197	.	22	5	27	13	0	1	5
peak_82	1	483348	483611	.	264	13	48	59	2	14	20
peak_83	1	485573	485968	.	396	29	96	130	6	25	39
peak_84	1	486519	487027	.	509	31	188	180	1	25	24
peak_85	1	502847	503079	.	233	7	41	41	3	12	19
peak_86	1	505239	505560	.	322	3	119	92	9	30	45
peak_87	1	529023	529132	.	110	7	26	30	2	8	7
peak_88	1	529153	529354	.	202	2	19	29	2	11	13
peak_89	1	537604	538010	.	407	50	66	127	2	30	27
peak_90	1	555069	555485	.	417	24	69	79	2	17	16
peak_91	1	562812	562814	.	3	9	8	6	0	2	3
peak_92	1	562855	563019	.	165	26	21	9	1	17	23
peak_93	1	566827	567681	.	855	31	291	395	34	121	103
peak_94	1	570953	572260	.	1308	50	299	293	17	68	90
peak_95	1	575070	575120	.	51	1	9	9	1	0	3
peak_96	1	575475	576568	.	1094	82	268	316	32	105	100
peak_97	1	588069	588453	.	385	10	97	109	8	28	36
peak_98	1	591028	591393	.	366	2	52	76	4	19	33
peak_99	1	607431	607883	.	453	31	159	149	4	38	49
peak_100	1	616808	616876	.	69	2	16	21	3	6	11
peak_101	1	617079	617326	.	248	3	38	39	2	20	37
peak_102	1	621160	621583	.	424	10	100	136	8	43	37
peak_103	1	630169	630540	.	372	29	86	130	4	37	49
peak_104	1	633295	633502	.	208	0	24	55	1	22	27
peak_105	1	634380	635470	.	1091	52	178	198	9	36	67
peak_106	1	652181	652435	.	255	11	87	63	2	25	22
peak_107	1	701276	701522	.	247	28	67	56	17	32	34
peak_108	1	729677	730056	.	380	22	103	137	4	24	41
peak_109	1	752035	752347	.	313	9	83	143	12	33	32
peak_110	1	767047	767153	.	107	0	35	19	3	7	11
peak_111	1	767985	768100	.	116	3	23	48	4	7	14
peak_112	1	780175	780337	.	163	12	24	40	3	17	23
peak_113	1	786485	786838	.	354	8	58	92	1	20	21
peak_114	1	794290	794544	.	255	39	62	57	2	20	36
peak_115	1	798922	799143	.	222	8	32	105	3	20	26
peak_116	1	807081	807371	.	291	25	52	54	2	20	23
peak_117	1	830198	830412	.	215	2	30	57	2	10	19
peak_118	1	847500	847863	.	364	4	62	76	5	25	28
peak_119	1	850069	850380	.	312	21	45	44	4	23	37
peak_120	1	864163	864473	.	311	18	63	68	2	22	13
peak_121	1	868116	868344	.	229	13	47	61	5	22	23
peak_122	1	880135	880398	.	264	59	40	41	2	20	25
peak_123	1	896403	896748	.	346	22	77	84	5	29	30
peak_124	1	897307	898985	.	1679	111	398	506	20	105	113
peak_125	1	899788	900108	.	321	26	65	56	6	27	31
peak_126	1	907437	907815	.	379	21	158	112	3	30	30
peak_127	1	930774	931113	.	340	10	47	84	1	24	21
peak_128	1	932001	932335	.	335	17	32	85	2	22	27
peak_129	1	933574	933773	.	200	0	45	43	1	13	12
peak_130	1	952778	953139	.	362	6	67	76	0	19	19
peak_131	1	954119	954473	.	355	22	69	96	1	24	23
peak_132	1	956418	957237	.	820	52	198	158	12	83	89
peak_133	1	957984	958361	.	378	27	121	128	6	21	30
peak_134	1	960823	961079	.	257	7	27	62	0	14	7
peak_135	1	961312	962011	.	700	10	108	145	7	39	54
peak_136	1	977603	978794	.	1192	83	234	240	13	82	102
peak_137	1	978947	979269	.	323	19	59	78	3	16	19
peak_138	1	983477	984504	.	1028	33	323	250	27	104	97
peak_139	1	1028635	1029290	.	656	56	143	191	11	58	62
peak_140	1	1040136	1040499	.	364	45	58	106	1	20	21
peak_141	1	1049892	1050128	.	237	8	43	73	1	10	18
peak_142	1	1070461	1071670	.	1210	140	215	221	15	73	94
peak_143	1	1084103	1085903	.	1801	100	312	403	24	147	142
peak_144	1	1103240	1103471	.	232	25	45	73	2	9	16
peak_145	1	1108895	1109100	.	206	10	40	29	3	15	13
peak_146	1	1129380	1129792	.	413	48	143	173	3	25	40
peak_147	1	1131288	1132013	.	726	85	179	325	9	41	62
peak_148	1	1132709	1132917	.	209	21	49	29	3	16	16
peak_149	1	1134498	1134798	.	301	9	40	93	3	20	26
peak_150	1	1138837	1139087	.	251	8	59	82	2	16	22
peak_151	1	1143090	1143487	.	398	23	63	102	3	31	40
peak_152	1	1157667	1157979	.	313	12	41	79	3	15	29
peak_153	1	1159081	1159248	.	168	8	30	46	5	15	11
peak_154	1	1173043	1173350	.	308	3	65	60	3	19	21
peak_155	1	1174169	1174477	.	309	16	60	75	2	12	18
peak_156	1	1188267	1189139	.	873	25	121	149	7	48	74
peak_157	1	1215566	1215887	.	322	17	87	101	2	23	28
peak_158	1	1235897	1236831	.	935	30	216	189	10	45	75
peak_159	1	1240100	1240394	.	295	4	71	59	4	18	24
peak_160	1	1243053	1243480	.	428	127	130	174	10	21	29
peak_161	1	1294394	1294780	.	387	9	77	77	3	22	25
peak_162	1	1299329	1299617	.	289	33	37	47	1	25	29
peak_163	1	1305606	1305788	.	183	4	45	38	3	23	17
peak_164	1	1308658	1308966	.	309	8	53	113	1	21	29
peak_165	1	1312130	1312337	.	208	12	35	37	1	18	13
peak_166	1	1312887	1313338	.	452	49	123	152	4	23	34
peak_167	1	1337882	1338180	.	299	22	54	85	7	23	19
peak_168	1	1358317	1358547	.	231	17	89	41	1	11	17
peak_169	1	1395907	1396198	.	292	24	79	93	5	22	22
peak_170	1	1418550	1418824	.	275	21	72	78	4	17	26
peak_171	1	1422091	1422333	.	243	15	67	38	7	10	23
peak_172	1	1423785	1424183	.	399	18	66	92	1	15	19
peak_173	1	1424253	1424287	.	35	7	1	14	0	4	8
peak_174	1	1425482	1425649	.	168	8	31	46	5	11	14
peak_175	1	1426470	1426892	.	423	32	115	117	5	34	37
peak_176	1	1434528	1434778	.	251	33	58	60	4	25	33
peak_177	1	1443554	1443752	.	199	5	11	26	0	13	26
peak_178	1	1444039	1444223	.	185	9	6	32	3	27	22
peak_179	1	1467556	1467931	.	376	17	75	82	5	21	24
peak_180	1	1468456	1469615	.	1160	78	292	355	9	66	91
peak_181	1	1478642	1479173	.	532	41	64	157	17	85	68
peak_182	1	1487002	1487261	.	260	20	88	74	5	23	24
peak_183	1	1494955	1495597	.	643	46	181	254	11	51	55
peak_184	1	1498051	1498265	.	215	18	19	62	2	18	24
peak_185	1	1519984	1520397	.	414	53	55	74	4	25	28
peak_186	1	1523498	1523711	.	214	26	45	50	4	15	21
peak_187	1	1527446	1527737	.	292	12	33	84	4	15	31
peak_188	1	1558968	1559193	.	226	2	51	44	2	16	14
peak_189	1	1564178	1564666	.	489	53	106	119	3	36	43
peak_190	1	1587778	1587985	.	208	9	49	56	1	16	23
peak_191	1	1593887	1594052	.	166	7	37	36	1	12	20
peak_192	1	1629204	1629552	.	349	29	108	141	9	55	50
peak_193	1	1704424	1705451	.	1028	63	171	309	16	82	114
peak_194	1	1713333	1713671	.	339	17	71	126	7	29	39
peak_195	1	1714212	1714655	.	444	32	121	181	2	18	43
peak_196	1	1732416	1732774	.	359	15	57	59	3	22	20
peak_197	1	1745684	1745837	.	154	11	19	39	2	17	13
peak_198	1	1768689	1768899	.	211	8	125	57	9	35	40
peak_199	1	1773271	1774547	.	1277	110	342	425	19	112	112
peak_200	1	1781622	1782039	.	418	59	62	133	5	30	26
peak_201	1	1807758	1808013	.	256	12	45	36	2	18	20
peak_202	1	1815407	1815614	.	208	17	42	20	1	4	14
peak_203	1	1821808	1822452	.	645	32	190	129	6	31	43
peak_204	1	1829665	1830385	.	721	59	141	186	11	53	61
peak_205	1	1837718	1837745	.	28	5	33	0	1	6	7
peak_206	1	1841705	1841870	.	166	6	16	30	2	16	26
peak_207	1	1854955	1855380	.	426	31	88	108	1	35	42
peak_208	1	1855728	1856005	.	278	6	46	96	6	18	22
peak_209	1	1861614	1862096	.	483	57	131	150	7	38	44
peak_210	1	1873756	1874025	.	270	18	42	68	6	18	25
peak_211	1	1874413	1874764	.	352	6	61	55	7	20	26
peak_212	1	1878633	1878853	.	221	10	40	52	2	19	25
peak_213	1	1879217	1879815	.	599	25	105	136	5	35	58
peak_214	1	1880079	1880362	.	284	3	67	60	6	11	26
peak_215	1	1882601	1883075	.	475	8	83	183	10	30	47
peak_216	1	1888066	1888877	.	812	63	275	299	15	64	78
peak_217	1	1889222	1889527	.	306	17	60	76	4	17	34
peak_218	1	1890885	1891513	.	629	3	56	133	7	47	40
peak_219	1	1896982	1897243	.	262	21	75	45	4	13	31
peak_220	1	1953200	1954318	.	1119	168	390	540	19	98	103
peak_221	1	1978143	1978216	.	74	1	9	16	0	11	10
peak_222	1	2013314	2013927	.	614	15	130	130	9	53	66
peak_223	1	2029730	2029889	.	160	7	26	13	0	6	5
peak_224	1	2047633	2047903	.	271	4	45	91	9	18	31
