# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/edu/mapping/Ath_TAIR10_genome/Arabidopsis_thaliana.TAIR10.52.gtf" "-o" "2022_03_04_feature_counts_gene_hisat2.txt" "-t" "gene" "-g" "gene_id" "-O" "-T" "4" "GFP-BRC1-2_hisat2_sorted.bam" "GFP-BRC1-4_hisat2_sorted.bam" "GFP-BRC1-5_hisat2_sorted.bam" "brc1-2-12_hisat2_sorted.bam" "brc1-2-6_hisat2_sorted.bam" "brc1-2-7_hisat2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	GFP-BRC1-2_hisat2_sorted.bam	GFP-BRC1-4_hisat2_sorted.bam	GFP-BRC1-5_hisat2_sorted.bam	brc1-2-12_hisat2_sorted.bam	brc1-2-6_hisat2_sorted.bam	brc1-2-7_hisat2_sorted.bam
ATCG00010	Pt	4	76	-	73	5	7	12	8	9	10
ATCG00020	Pt	383	1444	-	1062	1793	525	2297	5500	2388	561
ATCG00030	Pt	1717	4347	-	2631	116	75	98	172	137	69
ATCG00040	Pt	2056	3636	-	1581	62	41	59	91	79	36
ATCG00050	Pt	5084	6188	-	1105	1	4	4	12	8	2
ATCG00060	Pt	6616	6687	-	72	0	0	0	0	0	0
ATCG00070	Pt	7017	7202	+	186	18	17	38	35	29	26
ATCG00080	Pt	7583	7693	+	111	34	39	45	50	37	29
ATCG00090	Pt	7785	7872	+	88	25	19	27	30	43	11
ATCG00100	Pt	8646	9431	+	786	76	49	77	174	107	53
ATCG00110	Pt	9590	9661	+	72	4	3	1	3	4	1
ATCG00120	Pt	9938	11461	-	1524	175	59	185	278	139	76
ATCG00130	Pt	11529	12798	-	1270	92	45	113	164	95	60
ATCG00140	Pt	13262	13507	-	246	57	32	71	144	70	32
ATCG00150	Pt	14021	14770	-	750	42	33	61	93	67	39
ATCG00160	Pt	15013	15723	-	711	22	6	14	25	14	9
ATCG00170	Pt	15938	20068	-	4131	126	30	124	168	86	80
ATCG00180	Pt	20251	23084	-	2834	188	77	242	300	153	163
ATCG00190	Pt	23111	26329	-	3219	539	530	821	752	463	490
